fips,county,state,population
36001,Albany,New York,305506
36003,Allegany,New York,46091
36005,Bronx,New York,1418207
36007,Broome,New York,190488
36009,Cattaraugus,New York,76117
36011,Cayuga,New York,76576
36013,Chautauqua,New York,126903
36015,Chemung,New York,83456
36017,Chenango,New York,47207
36019,Clinton,New York,80485
36021,Columbia,New York,59461
36023,Cortland,New York,47581
36025,Delaware,New York,44135
36027,Dutchess,New York,294218
36029,Erie,New York,918702
36031,Essex,New York,36885
36033,Franklin,New York,50022
36035,Fulton,New York,53383
36037,Genesee,New York,57280
36039,Greene,New York,47188
36041,Hamilton,New York,4416
36043,Herkimer,New York,61319
36045,Jefferson,New York,109834
36047,Kings,New York,2559903
36049,Lewis,New York,26296
36051,Livingston,New York,62914
36053,Madison,New York,70941
36055,Monroe,New York,741770
36057,Montgomery,New York,49221
36059,Nassau,New York,1356924
36063,Niagara,New York,209281
36065,Oneida,New York,228671
36067,Onondaga,New York,460528
36069,Ontario,New York,109777
36071,Orange,New York,384940
36073,Orleans,New York,40352
36075,Oswego,New York,117124
36077,Otsego,New York,59493
36079,Putnam,New York,98320
36081,Queens,New York,2253858
36083,Rensselaer,New York,158714
36085,Richmond,New York,476143
36087,Rockland,New York,325789
36091,Saratoga,New York,229863
36093,Schenectady,New York,155299
36095,Schoharie,New York,30999
36097,Schuyler,New York,17807
36099,Seneca,New York,34016
36101,Steuben,New York,95379
36103,Suffolk,New York,1476601
36105,Sullivan,New York,75432
36107,Tioga,New York,48203
36109,Tompkins,New York,102180
36111,Ulster,New York,177573
36113,Warren,New York,63944
36115,Washington,New York,61204
36117,Wayne,New York,89918
36119,Westchester,New York,967506
36121,Wyoming,New York,39859
36123,Yates,New York,24913
36061,New York,New York,1628706
99999,New York City,New York,8336817
36089,St. Lawrence,New York,107740
90036,Unassigned,New York,
